;2847151.48;0;9003469.95;4555991.8;0;2508961.07;0;6045393.09;0;0;0;0;1503901.64;0;0;0;0;0;0;0;0;0
6935124.24;;0;0;0;0;5049353.12;0;0;0;5307291.04;5593958.32;0;753936.76;0;0;0;1369097.46;0;1859756.63;0;0;0
6008569.81;3382335.9;;1330978.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21484970.08;9680720.59;0;;0;0;0;0;7749840.14;0;0;0;0;0;0;0;0;0;0;1500000;0;0;0
179060.52;0;0;0;;0;0;0;0;0;0;0;0;1816994.58;325054.7;0;0;0;0;0;0;0;0
6177393.96;2000000;0;0;29401501.55;;5993705.17;0;1268.59;0;4748948.98;0;19818633.56;0;0;0;0;0;0;0;0;0;0
1103746.31;0;0;0;0;0;;2583254.33;3762430.43;0;0;3011070.96;0;0;695822.6;0;1904207.76;0;0;0;0;0;0
2166058.95;0;0;0;0;0;2545060.86;;0;0;0;0;0;0;490492.98;0;0;0;0;0;0;0;0
10042829.59;3303189.7;0;0;0;0;0;0;;0;0;0;0;2885856.37;543208.39;0;0;0;1503706.83;0;0;0;0
548.3;0;0;0;83584.41;0;222290.1;0;0;;0;0;0;3275465.17;0;0;0;0;0;0;0;834161.93;0
195067.57;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0
136902.68;0;0;0;0;0;3043569.13;0;2015623.43;0;0;;0;0;0;0;0;2988037.94;0;0;0;0;0
742713.85;0;0;0;29119.26;0;532017.35;319.62;41.68;0;1084.64;30160.8;;0;0;0;1266575.07;0;0;0;0;0;0
1075643.69;2020232;0;22104858.87;10298059.31;0;0;5139004.01;7248226.28;0;0;33733.97;0;;0;0;0;0;0;0;0;0;0
366751.42;314322.99;0;117316.71;123135.1;0;612161.23;1531828.67;746877.56;0;0;0;0;100000;;0;0;0;0;0;0;0;0
198278.71;503903.38;0;0;8247.83;0;18789.85;0;0;0;0;1847495.06;0;0;0;;0;0;0;0;0;0;0
0;2741579.13;0;0;9205347.45;3376417.37;7705757.32;6028.08;1128527.51;0;0;0;5198420.66;0;0;0;;0;0;0;0;0;0
853846.77;3128900.28;0;0;35814.17;38448.92;801829.67;1138723.18;2614194.92;0;0;1035686.17;830090.51;0;39040.85;0;0;;0;0;0;0;0
4869145.28;768433.54;0;1740846.51;6910678.1;4673359.86;5914069.84;8200775.79;2437507.83;0;6969445.64;8919919.98;0;803689.06;0;0;0;0;;250000;0;0;0
179291.36;5917676.06;0;6569516.9;5107348.14;1047.39;3023777.56;0;3408097.26;0;0;0;0;0;0;0;0;0;0;;0;0;0
123797.4;844933.73;0;986224.87;0;0;3440181.33;0;865030.31;0;1050000;500000;3964237.49;1962762.7;0;0;0;0;0;0;;0;0
215840.88;43316.41;0;9314.64;0;0;2223879.33;0;128168.4;0;0;0;0;1214877.35;0;0;0;0;0;0;0;0;0
302436.98;28734.18;0;0;164089.79;0;2013694.04;4066638.37;62061.46;0;518619.74;0;1355769.16;0;0;0;0;0;0;35641.38;2075379.5;0;0
